Question ID,Theme,Competency,Question,Suggested Options,Outcome,"Please use the RAG system below to review the questions:
        •        Red = Remove
        •        Orange = Reword
        •        Green = Keep as is",Notes,,,,,,,,,,,,,,,,
Q16,Access,Awareness,How easy is it for you to access sport where you live?,Very easy | Somewhat easy | Difficult | Very difficult | No access,Access to sport,Keep,,,,,,,,,,,,,,,,,
Q17,Community Support,Awareness,How supported do you feel by your community when taking part in sport?,Very supported | Somewhat supported | Neutral | Not very supported | Not supported at all,Community support,Keep,,,,,,,,,,,,,,,,,
Q18,Programmes,Awareness,Are there programmes or initiatives in your community that support young people through sport?,"Yes, many | Some | Not sure | Very few | None",Presence of structured interventions,Keep,,,,,,,,,,,,,,,,,
Q39,Negative Experiences,Awareness,Have you ever had a negative experience in sport that affected your wellbeing?,"Yes, often | Yes, sometimes | Rarely | Never | Not sure",Builds on UN focus on safe sport and wellbeing by explicitly capturing downside experiences often underrepresented in reporting,Keep,,,,,,,,,,,,,,,,,
Q40,Coaches & Leadership,Awareness,"How much do coaches, teachers or leaders influence your experience of sport?",A lot | Somewhat | Very little | Not at all | Not sure,"Builds on UN emphasis on role of trusted adults and safe environments, enabling correlation with wellbeing, confidence and belonging",Keep,,,,,,,,,,,,,,,,,
Q41,Participation Drop-off,Awareness,Have you ever stopped taking part in sport or physical activity?,"Yes, recently | Yes, in the past | No | Not sure","Builds on UN participation data by exploring retention and dropout, a key gap in many datasets",Keep,,,,,,,,,,,,,,,,,
Q42,Time & Practical Barriers,Awareness,What makes it difficult for you to take part in sport regularly?,Lack of time | School or work pressure | Cost | Lack of access | Not interested | Other,"Builds on UN findings around access and inequality by adding lived constraints such as time, pressure and competing priorities",Keep,,,,,,,,,,,,,,,,,
Q19,Mental Health,Intent,How important is sport to supporting your mental wellbeing?,Very important | Somewhat important | Neutral | Not very important | Not important at all,Belief in sport as wellbeing tool,Keep,,,,,,,,,,,,,,,,,
Q20,Hope,Intent,Do you believe sport can help young people feel more hopeful about their future?,Strongly agree | Agree | Not sure | Disagree | Strongly disagree,Belief in sport as driver of hope,Keep,,,,,,,,,,,,,,,,,
Q21,Social Cohesion,Intent,Would you like sport to play a bigger role in bringing people together in your community?,"Yes, definitely | Yes, somewhat | Not sure | Not really | No",Desire for sport-led cohesion,Keep,,,,,,,,,,,,,,,,,
Q22,Youth Voice,Intent,Do you think young people should have more say in how sport is used to support wellbeing and communities?,"Yes, definitely | Yes, somewhat | Not sure | Not really | No",Belief in youth participation,Keep,,,,,,,,,,,,,,,,,
Q23,Policy,Intent,Do you believe sport should play a bigger role in improving mental health in your country?,Strongly agree | Agree | Not sure | Disagree | Strongly disagree,Policy relevance of sport,Keep,,,,,,,,,,,,,,,,,
Q24,Aspirational Experience,Intent,"In your ideal sport or activity space, how would you want to feel most?",Welcome | Safe | Calm | Energised | Confident | Happy,Aspirational emotional outcomes,Reword,,,,,,,,,,,,,,,,,
Q25,Participation Drivers,Intent,What would help more young people in your area get active or take part in sport? (Select up to 3),Better places to play | Free or low-cost activities | Supportive coaches | Fun social activities | Feeling welcome | More choice in activities,Solutions for increasing participation,Keep,,,,,,,,,,,,,,,,,
Q26,Personal Agency,Agency,Do you feel you can use sport to improve your own wellbeing?,"Yes, strongly | Yes, somewhat | Not sure | Not really | Not at all",Personal agency,Keep,,,,,,,,,,,,,,,,,
Q27,Voice,Agency,Do you feel your voice is heard when decisions are made about sport in your community?,Always | Often | Sometimes | Rarely | Never,Perceived influence,Keep,,,,,,,,,,,,,,,,,
Q28,Collective Agency,Agency,Do you feel young people can influence how sport is used in society?,"Yes, strongly | Yes, somewhat | Not sure | Not really | Not at all",Collective agency,Keep,,,,,,,,,,,,,,,,,
Q29,Action,Agency,Would you like opportunities to help shape how sport supports wellbeing in your community?,"Yes, definitely | Yes, maybe | Not sure | Not really | No",Readiness to act,Keep,,,,,,,,,,,,,,,,,
Q30,Community Action,Agency,"If there’s a problem in your community you care about, how confident do you feel you could help do something about it?",Not confident at all | Slightly confident | Somewhat confident | Confident | Very confident,Civic agency,Keep,,,,,,,,,,,,,,,,,
Q31,Resilience,Agency,"When things go wrong in your life, how confident are you that you can bounce back?",Not confident at all | Slightly confident | Somewhat confident | Confident | Very confident,Personal resilience,Keep,,,,,,,,,,,,,,,,,
Q32,Environmental Voice,Agency,How confident do you feel that you can talk about the environment with others?,Not confident at all | Slightly confident | Somewhat confident | Confident | Very confident,Confidence in environmental engagement,Remove,,,,,,,,,,,,,,,,,
Q33,Policy,Agency,Do you think young people should be involved in shaping decisions about sport and wellbeing?,"Yes, definitely | Yes, somewhat | Not sure | Not really | No",Support for co-creation,Keep,,,,,,,,,,,,,,,,,
Q34,Data & Action,Agency,Would you like to learn how to use data about young people’s experiences to help create solutions and drive change?,"Yes, definitely | Yes, maybe | Not sure | Not really | No",Interest in using data to create solutions and support change,Remove,,,,,,,,,,,,,,,,,
Q35,Age,Demo,How old are you?,Open / age bands,Demographic segmentation,Keep,,,,,,,,,,,,,,,,,
Q36,Gender,Demo,What gender do you identify as?,Open / standard categories,Demographic segmentation,Keep,,,,,,,,,,,,,,,,,
Q37,Country,Demo,What country do you live in?,Open,Demographic segmentation,Keep,,,,,,,,,,,,,,,,,
Q38,Disability,Demo,Do you have a health condition or disability that affects your day-to-day activities?,Yes | No | Prefer not to say,Inclusion lens,Keep,,,,,,,,,,,,,,,,,
