Logo,Please add AAF logo,,,,,
,,,,,,
Es_Question,En_Question,ES_Focus of comment,Eng_Focus of comment,ES_comment,Eng_comment,PV_Comment,,,,,,,,,,,,,,,,,
"Aparte de la seguridad financiera, ¿qué es lo que más te importa en el tipo de trabajo que te gustaría realizar?","Aside from financial security, what matters most to you in the type of work you would like to do?","Aparte de la seguridad financiera, ¿qué es lo que más te importa en el tipo de trabajo que te gustaría realizar?","Aside from financial security, what matters most to you in the type of work you would like to do?",Poner seguridad financiera creo que es muy tecnico para que la persona pueda responder de buena forma la pregunta,"Putting ""financial security"" in my opinion is too technical a term for the person to answer the question properly.","Michael Sani What if we rephrased this to and user friendly way like, ""Aside from haveing money, what matters most with the type of work you do?"" Elena Prieto Sulleiro",,,,,,,,,,,,,,,,,
"En una escala del 1 al 10, ¿qué tan seguro/a está de que encontrará (o creará) un trabajo que sea adecuado para usted?","On a scale of 1 to 10, how confident are you that you will find (or create) a job that is right for you?","En una escala del 1 al 10, ¿qué tan seguro/a está de que encontrará (o creará) un trabajo que sea adecuado para usted?","On a scale of 1 to 10, how confident are you that you will find (or create) a job that is right for you?",Let's change this young kid image to teen +,Let's change this young kid image to teen +,Jamie Rae to review,,,,,,,,,,,,,,,,,
"En una escala del 1 al 10, ¿qué tan seguro/a está de que encontrará (o creará) un trabajo que sea adecuado para usted?","On a scale of 1 to 10, how confident are you that you will find (or create) a job that is right for you?","En una escala del 1 al 10, ¿qué tan seguro/a está de que encontrará (o creará) un trabajo que sea adecuado para usted?","On a scale of 1 to 10, how confident are you that you will find (or create) a job that is right for you?","Quizás debieramos hablar no de usted sino de tú. es decir: que trabajo te gustaría, qué trabajo crees que es adecuado para ti","Perhaps we should speak informally, not formally. In other words: what kind of job would you like, what kind of job do you think is suitable for you?",Elena Prieto Sulleiro to review phrasing,,,,,,,,,,,,,,,,,
¿Crees que los trabajos que ayudan al planeta son realistas en tu zona?,Do you think jobs that help the planet are realistic in your area?,¿Crees que los trabajos que ayudan al planeta son realistas en tu zona?,Do you think jobs that help the planet are realistic in your area?,"Hay que mejorar la redacción de esta preg…no se entiende 100%
","The wording of this question needs improvement...it's not entirely clear.

",Elena Prieto Sulleiro to review phrasing,,,,,,,,,,,,,,,,,
¿Crees que los trabajos que ayudan al planeta son realistas en tu zona?,Do you think jobs that help the planet are realistic in your area?,¿Crees que los trabajos que ayudan al planeta son realistas en tu zona?,Do you think jobs that help the planet are realistic in your area?,La pregunta puede ser un poco confusa.,The question may be a little confusing.,Elena Prieto Sulleiro to review phrasing,,,,,,,,,,,,,,,,,
"¿Qué hace actualmente
(o intenta hacer) para ayudar al medio ambiente?",What are you currently doing (or trying to do) to help the environment?,Toca el icono con el que estás de acuerdo,Tap the icon you agree with,"Todas las preguntas las dejaría hablandole a un tú, no usted. ej_ qué haces actualmente o intentas hacer...","I would phrase all the questions using ""tú"" (informal ""you""), not ""usted"" (formal ""you""). For example: What are you currently doing or trying to do?",Elena Prieto Sulleiro to review phrasing,,,,,,,,,,,,,,,,,
"En su opinión, ¿cuál es la principal razón por la que la gente no hace más por el planeta?","In your opinion, what is the main reason why people don't do more for the planet?","En su opinión, ¿cuál es la principal razón por la que la gente no hace más por el planeta?","In your opinion, what is the main reason why people don't do more for the planet?","Le sumaria el alternativa de que ""no tiene interes""","I would add the alternative that ""he has no interest""","What if we change Michael Sani from ""Low motivation"" to ""Has no interest"" ",,,,,,,,,,,,,,,,,
¿Qué tan preocupado está usted por el cambio climático?,How concerned are you about climate change?,¿Qué tan preocupado está usted por el cambio climático?,How concerned are you about climate change?,"Cambiar el usted por tu, gener mayor cercanía","Changing ""usted"" to ""tu"" creates greater closeness",Elena Prieto Sulleiro to review phrasing,,,,,,,,,,,,,,,,,
"¿Qué sueñas para el futuro, para ti o para tu comunidad?","What do you dream of for the future, for yourself or for your community?","¿Qué sueñas para el futuro, para ti o para tu comunidad?","What do you dream of for the future, for yourself or for your community?",Can we make sure the text is white so you can see what you wrote,Can we make sure the text is white so you can see what you wrote,Benjamin Pook currently being reviewed by team ,,,,,,,,,,,,,,,,,
¿Cuántos años tiene?,How old are you?,¿Cuántos años tiene?,How old are you?,"La primera opción ""De a"" no concluye ningún dato.","The first option ""From to"" does not provide any data.",Benjamin Pook currently being reviewed by team ,,,,,,,,,,,,,,,,,
¿Dónde vives?,Where do you live?,¿Dónde vives?,Where do you live?,Can the list appear as a pop Up? It’s not the best user experience to scroll through one place at a time,Can the list appear as a pop Up? It's not the best user experience to scroll through one place at a time,Benjamin Pook currently being reviewed by team ,,,,,,,,,,,,,,,,,
