Question ID,Theme,Competency,Question,Suggested Options,Outcome,Notes,,,,,,,,,,,,,,,,
Q20,Participation Drop-off,Awareness,Have you ever stopped taking part in sport or physical activity?,"Yes, recently | Yes, in the past | No | Not sure","Builds on UN participation data by exploring retention and dropout, a key gap in many datasets",,,,,,,,,,,,,,,,,
Q22,Resilience + Sport,Awareness,How much does sport or physical activity help you deal with challenges in life?,"Yes, definitely | A little | Not sure | Not really | Not at all","Perceived relationship between sport and resilience

Strengthens understanding of how sport contributes to coping, resilience and emotional wellbeing",Combined with Matrix in Q11,,,,,,,,,,,,,,,,
Q23,Participation Type,Awareness,"Which types of sport, play or physical activity do you take part in most often?",PE or school sport | Community sport club | Informal play with friends | Gym or exercise | Dance or movement | Online/virtual fitness | I don’t regularly take part,Understanding participation environments. Enables comparison between structured and informal participation experiences,,,,,,,,,,,,,,,,,
Q24,Joy & Motivation,Intent,"What do you enjoy most about sport, play or physical activity?",Spending time with friends | Feeling healthy or strong | Having fun | Learning new skills | Feeling confident | Competing | Relaxing or reducing stress | Being part of a team,"Primary motivations and sources of enjoyment

Builds on interest in understanding intrinsic motivation and positive emotional outcomes",Could be a select x and allows trends to merge when compared with Q11,,,,,,,,,,,,,,,,
Q25,Mental Health,Intent,How important is sport to supporting your mental wellbeing?,Very important | Quite important | Neutral | Not very important | Not important at all,Belief in sport as wellbeing tool,Replaces Q1,,,,,,,,,,,,,,,,
Q26,Hope,Intent,Do you believe sport can help young people feel more hopeful about their future?,Strongly agree | Agree | Not sure | Disagree | Strongly disagree,Belief in sport as driver of hope,,,,,,,,,,,,,,,,,
Q27,Social Cohesion,Intent,Would you like sport to play a bigger role in bringing people together in your community?,"Yes, definitely | A little | Not sure | Not really | No",Desire for sport-led cohesion,,,,,,,,,,,,,,,,,
Q28,Youth Voice,Intent,Do you think young people should have more say in how sport is used to support wellbeing and communities?,"Yes, definitely | A little | Not sure | Not really | No",Belief in youth participation,,,,,,,,,,,,,,,,,
Q29,Policy,Intent,Do you believe sport should play a bigger role in improving mental health in your country?,Strongly agree | Agree | Not sure | Disagree | Strongly disagree,Policy relevance of sport,,,,,,,,,,,,,,,,,
Q30,Aspirational Experience,Intent,"In your ideal sport or activity space, how would you want to feel most?",Welcome | Safe | Calm | Energised | Confident | Happy,Aspirational emotional outcomes,,,,,,,,,,,,,,,,,
Q31,Participation Drivers,Intent,What would help more young people in your area get active or take part in sport? (Select up to 3),Better places to play | Free or low-cost activities | Supportive coaches | Fun social activities | Feeling welcome | More choice in activities,Solutions for increasing participation,,,,,,,,,,,,,,,,,
Q32,Personal Agency,Agency,Do you feel you can use sport to improve your own wellbeing?,"Yes, strongly | A little | Not sure | Not really | Not at all",Personal agency,,,,,,,,,,,,,,,,,
Q33,Voice,Agency,Do you feel your voice is heard when decisions are made about sport in your community?,Always | Often | Sometimes | Rarely | Never,Perceived influence,,,,,,,,,,,,,,,,,
Q34,Collective Agency,Agency,Do you feel young people can influence how sport is used in society?,"Yes, strongly | A little | Not sure | Not really | Not at all",Collective agency,,,,,,,,,,,,,,,,,
Q35,Action,Agency,Would you like opportunities to help shape how sport supports wellbeing in your community?,"Yes, definitely | Maybe | Not sure | Not really | No",Readiness to act,,,,,,,,,,,,,,,,,
Q36,Community Action,Agency,"If there’s a problem in your community you care about, how confident do you feel you could help do something about it?",Not confident at all | Slightly confident | Somewhat confident | Confident | Very confident,Civic agency,,,,,,,,,,,,,,,,,
Q37,Resilience,Agency,"When things go wrong in your life, how confident are you that you can bounce back?",Not confident at all | Slightly confident | Somewhat confident | Confident | Very confident,Personal resilience,,,,,,,,,,,,,,,,,
Q38,Policy,Agency,Do you think young people should be involved in shaping decisions about sport and wellbeing?,"Yes, definitely | A little | Not sure | Not really | No",Support for co-creation,,,,,,,,,,,,,,,,,
Q39,Age,Demo,How old are you?,Open / age bands,Demographic segmentation,,,,,,,,,,,,,,,,,
Q40,Gender,Demo,What gender do you identify as?,Open / standard categories,Demographic segmentation,,,,,,,,,,,,,,,,,
Q41,Country,Demo,What country do you live in?,Open,Demographic segmentation,,,,,,,,,,,,,,,,,
Q42,Disability,Demo,Do you have a health condition or disability that affects your day-to-day activities?,Yes | No | Prefer not to say,Inclusion lens,,,,,,,,,,,,,,,,,
