,,,,,,,,,Group 1 ,,,Group 2,,,Group 3,,,Group 4,,,Group 5,,
,Economic Opportunity & Green Entrepreneurship,Do you think green jobs are realistic where you live?,¿Crees que los empleos verdes son una opción realista en tu lugar de residencia?,"Yes — they already exist
Maybe — but they’re hard to access
Not yet — but they should be
No — they don’t seem possible here
Not sure","Sí, ya existen.
Quizás, pero son difíciles de acceder.
Todavía no, pero deberían.
No, no parecen posibles aquí.
No estoy seguro.",Awareness - Intent (hybrid),Green job viability – Perceived opportunity environment,,,,N/A,Reword,"Explicar que es un empleo verde, porque no se entiende.","Explain what a green job is, because it's not understood.",Reword,Agregar definición de qué es un empleo verde o sacar la pregunta,"Add a definition of what a green job is, or remove the question.",Remove,No hay conocimiento noi pennetración del concepto,"There is no knowledge, no penetration of the concept",Reword,Falta definir qué es un empleo verde,We need to define what a green job is.
,Economic Opportunity & Green Entrepreneurship,How confident are you you’ll find (or create) work that fits your values?,¿Qué tan seguro estás de que encontrarás (o crearás) un trabajo que se ajuste a tus valores?,Not confident → Very confident,No estoy seguro → Estoy muy seguro,Agency,Confidence in alignment – Measures alignment hope vs. reality,,,,N/A,Keep,,N/A,Keep,,N/A,Reword,Cambiar valores por sueños,Swap values ​​for dreams,Remove,,N/A
,Climate Action & Sustainability,What are some things you currently do to help the environment?,¿Qué cosas haces actualmente para ayudar al medio ambiente?,"I recycle or reuse things
I walk, bike or use public transport instead of a car
I save water or energy at home
I avoid plastic when I can
I speak up or post about climate issues
I help others learn or take action
I spend money on eco-friendly products or brands
I vote (or would vote) based on climate issues
I don’t do anything yet — but I want to
I don’t do anything and I’m not sure why
Other (please type)","Reciclo o reutilizo cosas
Camino, uso la bicicleta o el transporte público en lugar del coche
Ahorro agua o energía en casa
Evito el plástico siempre que puedo
Hablo o publico sobre temas climáticos
Ayudo a otros a aprender o a tomar medidas
Gasto dinero en productos o marcas ecológicas
Voto (o votaría) en función de temas climáticos
Aún no hago nada, pero quiero hacerlo
No hago nada y no sé por qué
Otro (por favor, escriba)",Agency,"Eco-action habits – Surfaces everyday behaviours that reflect environmental agency and intent to act, even at small scales.",,,,N/A,Keep,,N/A,Keep,Marcar todas las opciones que quieran,Select all the options you want,,,N/A,Reword,"Cambiar conducir por movilizarse en auto. E incluir la opción ""no hago nada porque no me interesa"". ","Replace driving with getting around by car. And include the option ""I do nothing because I'm not interested""."
,Climate Action & Sustainability,What stops young people from doing more for the planet?,¿Qué impide a los jóvenes hacer más por el planeta?,"Cost
Time
Lack of information
Lack of support
Doubt it makes a difference
No motivation
Other (please specify)","Costo
Tiempo
Falta de información
Falta de apoyo
Dudo que marque la diferencia
Falta de motivación
Otro (especifique)",Awareness,Barriers to action – Systemic inhibitors for action,,,,N/A,Reword,"Cambiar ""Falta de Motivación"" en vez de sin motivación. ","Change ""Lack of Motivation"" to ""without motivation"".",Keep,,N/A,,,N/A,Reword,En la opción costo se podría especificar que se refiere al costo económico.,"In the cost option, you could specify that it refers to the economic cost."
,Mental Health / Climate Action & Sustainability,How worried are you about climate change?,¿Qué tan preocupado/a está usted por el cambio climático?,"Not at all worried
Not very worried
Somewhat worried
Very worried","Nada preocupado
No muy preocupado
Algo preocupado
Muy preocupado",Awareness,Climate concern – Gauges emotional connection to the climate crisis and how present or urgent it feels in daily life,,,,N/A,Keep,,N/A,Keep,,N/A,,,N/A,Reword,"Se podría incluir una definición de qué es el cambio climático. Respecto a la temática de cambio climático en general creemos que hay muchas preguntas enfocadas en ""el presente"" y solo 1 enfocada en el futuro.","A definition of climate change could be included. Regarding the topic of climate change in general, we believe there are many questions focused on ""the present"" and only one focused on the future."
,Reflection,What do you dream about for the future — for yourself or your community?,"¿Qué sueñas para el futuro, ya sea para ti o para tu comunidad?",Free text,Texto libre,Intent,"Aspirational dreams – Raw, personal insight for storytelling",,,,N/A,Keep,,N/A,Keep,,N/A,,,N/A,Keep,,N/A
,Demographics,How old are you?,¿Cuántos años tiene?,"Under 16
16–18
19–21
22–24
25–29
Over 29","Menores de 16 años
16–18 años
19–21 años
22–24 años
25–29 años
Mayores de 29 años",,,,,,N/A,Keep,,N/A,Keep,,N/A,,,N/A,Keep,Las preguntas de caracterización deberían ir al comienzo. ,Characterization questions should go at the beginning.
,Demographics,"What is your gender?
","¿Cuál es tu género?
","Female
Male
Prefer not to say","Mujer
Hombre
Prefiero no decirlo",,,,,,N/A,Reword,Agregaríamos la opción Otros y la opción especificar si es que el encuestado quiere decirlo,"We would add the ""Other"" option and the option to specify if the respondent wants to say so.",Keep,,N/A,,,N/A,Keep,,N/A
,Demographics,"Where do you live
(Select your commune within the Valparaíso region)","¿Dónde vives?
(Selecciona tu comuna dentro de la región de Valparaíso)","Cabildo
Cartagena
Concón
El Quisco
El Tabo
Isla de Pascua (Rapa Nui)
La Ligua
Limache
Los Andes
Olmué
Papudo
Petorca
Quilpué
San Antonio
San Felipe
Santo Domingo
Valparaíso
Villa Alemana
Viña del Mar
Zapallar","Cabildo
cartagena
Concón
El Quisco
El Tabo
Isla de Pascua (Rapa Nui)
LaLigua
limache
Los Andes
Olmué
papudo
petorca
Quilpué
San Antonio
San Felipe
santo domingo
Valparaíso
Villa Alemana
viña del mar
Zapallar",,,,,,N/A,Reword,"Faltan comunas, como Casablanca, Quintero, Llai Llai, Hijuela, etc. Se recomienda revisar todas las comunas de la región Adicionalmente  se recomienda que se refiera a Rapanui, sólo como rapa nui y que no este la opción Isla de Pascua, ya que para la cultura Rapa nui es ofensivo que le digan Isla de Pascua. ","Some municipalities are missing, such as Casablanca, Quintero, Llai Llai, Hijuela, etc. It is recommended to review all municipalities in the region. Additionally, it is recommended that Rapanui be referred to only as Rapa Nui and that the option Easter Island not be included, as it is offensive to the Rapa Nui culture to be called Easter Island.",Keep,,N/A,,,N/A,Keep,,N/A
To check with collaborators on Tuesday,Economic Opportunity & Green Entrepreneurship,Which of these best describes your income situation?,¿Cuál de estas opciones describe mejor su situación de ingresos?,"I have no personal income
I earn sometimes, but it’s not regular
I earn regularly, but it only covers basics
I earn regularly and can save or spend on extras","No tengo ingresos personales.
Gano a veces, pero no es regular.
Gano regularmente, pero solo me alcanza para lo básico.
Gano regularmente y puedo ahorrar o gastar en extras.",Awareness,Income level – Useful for stratifying results,,,,N/A,Reword,"Modificariamos la ultima opción a ""Tengo estabilidad economica  y puedo ahorrar, invertir o gastar en extras"" Tambien seria interesante agregar el ""no necesito trabajar y tener ingresos""","We would modify the last option to ""I have financial stability and can save, invest, or spend on extras."" It would also be interesting to add ""I don't need to work and have an income.""",,,N/A,,,N/A,,,N/A
